Size_Degree,VRR_Frequency,Luminance,Luminance_high,Luminance_low,C_t,C_t_high,C_t_low
0.5,0.5,0.7897211583181148,0.9131281506757868,0.6696665571265185,0.04475564648683399,0.054008206641762146,0.03787751548939835
1.0,0.5,0.7815966588074361,0.8839809876975256,0.6655338113813307,0.044774762426895834,0.0533493019231672,0.039113732401726366
16.0,0.5,1.8488171295545621,1.994522271313229,1.7074283076319325,0.016582910372197196,0.018205900235111552,0.01516823988171961
-1.0,0.5,2.599617781222151,2.780764784870152,,0.00942536216158891,,0.008637593805477973
0.5,2.0,1.3924180355098332,1.6376123639456914,1.2094023679417774,0.023191497135231373,0.02734218914319384,0.019172544048057055
1.0,2.0,2.3120925797098266,3.1345950415532453,1.8957611064730002,0.013343184036901273,0.0166954874295776,0.009451123444729623
16.0,2.0,2.3063963022875416,2.856366411617842,2.015437231957389,0.012782751101398001,0.014983235679811155,0.009929800388732462
-1.0,2.0,4.06402229528959,4.2775353232925895,3.7641742579525177,0.005277127483990722,0.005830125513182363,0.004937084093602065
0.5,4.0,1.7142585172347102,1.8254094049586478,1.5978851463751758,0.01816826488761284,0.019733992697566302,0.016872645638790058
1.0,4.0,1.5135120755402756,1.6774338901282733,1.3270004602195393,0.02150573694747668,0.02491703308325858,0.01916064402353364
16.0,4.0,2.959149376183749,3.2284142177212365,2.735611496020631,0.009523159651576647,0.01045006122359123,0.008590418603843129
-1.0,4.0,3.7456122047927405,3.9496590198295944,3.0625755589972226,0.005867708946001815,0.00762121436092777,0.005476698144329323
0.5,8.0,1.2852624534762722,2.075199146746486,,0.02546833402114394,,0.014503282855768379
1.0,8.0,2.3057877147443,2.5721661936091724,2.0892281074132244,0.013384447839066418,0.014962231870584673,0.011826862221252891
16.0,8.0,4.665128391411545,4.926023128773543,4.411325417128337,0.005551209593286779,0.005932513625161023,0.005203696795892366
-1.0,8.0,6.373341541093057,,6.174259656651725,0.0029370988442654774,0.003061151663184414,
0.5,10.0,0.8287742376374687,0.9670778481854597,,0.042346341098166415,,0.03544830736812854
1.0,10.0,1.3128216621654862,1.4459848988489346,1.1926163614313698,0.025217916088969766,0.028069489699589233,0.022634504629015433
16.0,10.0,3.579612598378202,4.104517564399721,3.394825694464044,0.007601194953821312,0.008093937331346163,0.006462500686539771
-1.0,10.0,4.446784314010832,5.733376499050365,4.10323463590691,0.004693988981451887,0.005211629871089479,0.0033714569758481003
0.5,12.0,0.5750802608224096,0.6726725687086336,,0.06412879569970392,,0.05373458749893616
1.0,12.0,1.0272827040326131,1.1826240342329588,0.8413757125240283,0.03313183938453893,0.04129789964450756,0.02833376560003657
16.0,12.0,6.1225402808952385,6.597836793989971,5.493847278035787,0.004018227926634823,0.004570847400595673,0.0036762173512436373
-1.0,12.0,4.289860016876415,4.581289285443616,4.094068793345542,0.004918637724981706,0.005226811034065865,0.004515426742455904
1.0,14.0,0.48229133379137606,0.7147951160531834,,0.07537021486738402,,0.049364106225509526
16.0,14.0,3.518762874513991,3.6857886898702987,3.339070029085465,0.007757239661301275,0.008254291190306776,0.007342311168070343
-1.0,14.0,4.4002471458087085,4.66734216083691,4.101053521133802,0.004758694005139908,0.005215235342368133,0.00440736328788262
0.5,16.0,0.5682772512419736,0.704004167185023,,0.06499019447453207,,0.05102659144182213
16.0,16.0,6.047604620504516,6.687445777824372,4.121356322630678,0.004077526037375341,0.006431178628013888,0.003617670313346966
-1.0,16.0,4.982370782841136,5.297624231277726,4.68670233477669,0.004048056484167078,0.004383678073269351,0.0037371773136172497
