Block_ID,VRR_Frequency,Size_Degree,Threshold_Color_Value,Trail_ID,Real_VRR_period,Observer_choice,Response
0,4.0,1,0.0924999999999998,0,1,1,1
0,4.0,1,0.1091701916357206,1,1,1,1
0,4.0,1,0.1111105302630763,2,1,1,1
0,4.0,1,0.1130054603006497,3,0,1,0
0,4.0,1,0.1072111061266308,4,1,1,1
0,4.0,1,0.1091869660017864,5,1,0,0
0,4.0,1,0.1031500915926201,6,1,1,1
0,4.0,1,0.1052274179226118,7,0,0,1
0,4.0,1,0.1072433870299637,8,1,1,1
0,4.0,1,0.1092042658372815,9,0,1,0
0,4.0,1,0.1032144900129315,10,0,1,0
0,4.0,1,0.0967140243372391,11,0,1,0
0,4.0,1,0.088995196833246,12,1,1,1
0,4.0,1,0.0919675403821851,13,1,1,1
0,4.0,1,0.0944921433012898,14,0,1,0
0,4.0,1,0.0861981180273907,15,1,1,1
0,4.0,1,0.0892027971718074,16,0,1,0
0,4.0,1,0.0802625323878992,17,0,0,1
0,4.0,1,0.0833802584293365,18,0,0,1
0,4.0,1,0.086424975069704,19,1,1,1
0,4.0,1,0.0894088014955911,20,0,0,1
0,4.0,1,0.0923421178051726,21,0,0,1
0,4.0,1,0.0947652943319711,22,0,0,1
0,4.0,1,0.0970648014652887,23,0,1,0
0,4.0,1,0.0896132340494689,24,1,1,1
0,4.0,1,0.0925231346003433,25,0,1,0
0,4.0,1,0.0838721877327277,26,0,0,1
0,4.0,1,0.0868728679274542,27,0,0,1
0,4.0,1,0.089816118735312,28,0,0,1
0,4.0,1,0.0926775274519142,29,1,1,1
1,0.5,16,0.08075,0,1,1,1
1,0.5,16,0.0997853724663237,1,1,0,0
1,0.5,16,0.0929542189313388,2,1,1,1
1,0.5,16,0.0953176787923327,3,0,0,1
1,0.5,16,0.0975978931656036,4,0,1,0
1,0.5,16,0.090590499923101,5,0,1,0
1,0.5,16,0.0827597283444572,6,1,1,1
1,0.5,16,0.0855283691980862,7,1,1,1
1,0.5,16,0.0881642139341173,8,0,0,1
1,0.5,16,0.0906835700722004,9,1,1,1
1,0.5,16,0.0931001800428101,10,1,1,1
1,0.5,16,0.0954257755166664,11,1,1,1
1,0.5,16,0.0976704868138373,12,1,1,1
1,0.5,16,0.0998431513216106,13,1,1,1
1,0.5,16,0.1019515499194866,14,1,1,1
1,0.5,16,0.1040025910468845,15,1,0,0
1,0.5,16,0.0977072566132688,16,0,0,1
1,0.5,16,0.0998635058314827,17,1,1,1
1,0.5,16,0.1019563191578878,18,0,1,0
1,0.5,16,0.095534144497669,19,0,1,0
1,0.5,16,0.0885040171285057,20,0,0,1
1,0.5,16,0.0909598366626886,21,1,1,1
1,0.5,16,0.0933176309804892,22,1,1,1
1,0.5,16,0.0955883887649442,23,1,0,0
1,0.5,16,0.0886156604869617,24,1,1,1
1,0.5,16,0.0910509256902719,25,1,1,1
1,0.5,16,0.0933896712371324,26,1,1,1
1,0.5,16,0.0956426520864153,27,0,0,1
1,0.5,16,0.0978192002697223,28,1,1,1
1,0.5,16,0.0999274914831271,29,1,1,1
2,1.0,full,0.10075,0,0,0,1
2,1.0,full,0.1160363781939772,1,1,0,0
2,1.0,full,0.1104062213606484,2,0,1,0
2,1.0,full,0.1043532690169764,3,0,1,0
2,1.0,full,0.0972235966703635,4,1,1,1
2,1.0,full,0.0999276119205452,5,1,0,0
2,1.0,full,0.0919444328211678,6,0,0,1
2,1.0,full,0.0946962313949474,7,1,1,1
2,1.0,full,0.0974122090743732,8,0,0,1
2,1.0,full,0.100099201832718,9,1,1,1
2,1.0,full,0.1024264223279834,10,0,1,0
2,1.0,full,0.0949012073857053,11,0,0,1
2,1.0,full,0.0975994476766059,12,0,0,1
2,1.0,full,0.1002697091623725,13,0,1,0
2,1.0,full,0.0923902035964538,14,0,0,1
2,1.0,full,0.095104517046791,15,1,0,0
2,1.0,full,0.0870915307924051,16,0,0,1
2,1.0,full,0.089874554639089,17,1,1,1
2,1.0,full,0.0926101065885695,18,1,1,1
2,1.0,full,0.0953061870560757,19,1,1,1
2,1.0,full,0.0979698810126548,20,0,1,0
2,1.0,full,0.0901116846922178,21,0,0,1
2,1.0,full,0.0928280676813951,22,0,1,0
2,1.0,full,0.0848091624156486,23,0,0,1
2,1.0,full,0.0876044321790664,24,0,0,1
2,1.0,full,0.0903465495896664,25,0,0,1
2,1.0,full,0.0930441207613942,26,0,0,1
2,1.0,full,0.0957047126208695,27,1,1,1
2,1.0,full,0.0983350496298181,28,1,1,1
2,1.0,full,0.1009102607137314,29,1,1,1
3,4.0,16,0.0952499999999999,0,0,0,1
3,4.0,16,0.1114363407360523,1,0,1,0
3,4.0,16,0.1055091730439583,2,1,1,1
3,4.0,16,0.107546683323325,3,1,1,1
3,4.0,16,0.1095258914001391,4,1,0,0
3,4.0,16,0.1034865144525218,5,0,0,1
3,4.0,16,0.1055719461006648,6,1,1,1
3,4.0,16,0.107593409830399,7,0,1,0
3,4.0,16,0.1014269862066451,8,0,0,1
3,4.0,16,0.1035658589801124,9,0,0,1
3,4.0,16,0.1056345769953041,10,1,1,1
3,4.0,16,0.1076402180991213,11,0,0,1
3,4.0,16,0.1095891108038484,12,0,1,0
3,4.0,16,0.1036448132238794,13,1,1,1
3,4.0,16,0.105697054536128,14,1,1,1
3,4.0,16,0.1076870924872446,15,0,0,1
3,4.0,16,0.1096211372201181,16,1,1,1
3,4.0,16,0.1115047836601004,17,1,1,1
3,4.0,16,0.1133431040940909,18,0,1,0
3,4.0,16,0.107734018168673,19,0,0,1
3,4.0,16,0.1096534160260529,20,1,1,1
3,4.0,16,0.1115230569770001,21,0,1,0
3,4.0,16,0.105821508264364,22,0,0,1
3,4.0,16,0.1077809810914836,23,0,1,0
3,4.0,16,0.1018088648700209,24,0,1,0
3,4.0,16,0.0952723356279213,25,0,1,0
3,4.0,16,0.0869523000615293,26,1,1,1
3,4.0,16,0.0898304302308976,27,0,1,0
3,4.0,16,0.0812935225856417,28,0,0,1
3,4.0,16,0.0842716554036388,29,0,0,1
0,8.0,full,0.10775,0,1,1,1
0,8.0,full,0.1220073613439176,1,1,1,1
0,8.0,full,0.1237092393859094,2,0,0,1
0,8.0,full,0.1253785537144129,3,0,0,1
0,8.0,full,0.1270187819070956,4,1,1,1
0,8.0,full,0.1286331721251562,5,1,0,0
0,8.0,full,0.1237111952758988,6,0,0,1
0,8.0,full,0.1253681569215762,7,0,0,1
0,8.0,full,0.126996348694452,8,1,1,1
0,8.0,full,0.1285989687736398,9,0,0,1
0,8.0,full,0.1301790183457537,10,1,1,1
0,8.0,full,0.13173932548051,11,0,0,1
0,8.0,full,0.1332825659308171,12,0,0,1
0,8.0,full,0.134811281355682,13,0,1,0
0,8.0,full,0.1301345465325647,14,0,0,1
0,8.0,full,0.1316836378027148,15,0,0,1
0,8.0,full,0.1332158003536056,16,1,1,1
0,8.0,full,0.134733539744758,17,1,1,1
0,8.0,full,0.1362392455974008,18,0,1,0
0,8.0,full,0.131983753324085,19,1,1,1
0,8.0,full,0.1335022993390454,20,1,1,1
0,8.0,full,0.1350070668160417,21,1,1,1
0,8.0,full,0.1365003903567325,22,0,1,0
0,8.0,full,0.132279584434447,23,1,0,0
0,8.0,full,0.1276364273499027,24,1,1,1
0,8.0,full,0.1291848714928504,25,1,1,1
0,8.0,full,0.1307128159849458,26,0,1,0
0,8.0,full,0.1260527506698008,27,0,1,0
0,8.0,full,0.1212267217920209,28,1,1,1
0,8.0,full,0.1228624870744183,29,0,0,1
1,2.0,16,0.0874999999999999,0,0,0,1
1,2.0,16,0.1051140232628796,1,1,1,1
1,2.0,16,0.1071427114717148,2,0,1,0
1,2.0,16,0.1009294460921049,3,1,1,1
1,2.0,16,0.1030619155370961,4,0,0,1
1,2.0,16,0.10513157720796,5,1,1,1
1,2.0,16,0.1071450356545835,6,0,0,1
1,2.0,16,0.1091082235697705,7,0,1,0
1,2.0,16,0.1030957616223716,8,0,0,1
1,2.0,16,0.1051496807490154,9,0,1,0
1,2.0,16,0.0988625593467295,10,0,0,1
1,2.0,16,0.1010303793108406,11,0,1,0
1,2.0,16,0.0943940624384704,12,0,1,0
1,2.0,16,0.0869305658926151,13,0,0,1
1,2.0,16,0.0896260291353541,14,1,1,1
1,2.0,16,0.0921146149830096,15,1,1,1
1,2.0,16,0.094498592606196,16,1,1,1
1,2.0,16,0.096789590920594,17,0,1,0
1,2.0,16,0.0897722092711908,18,1,1,1
1,2.0,16,0.0922387497336334,19,1,0,0
1,2.0,16,0.0841866597643602,20,1,1,1
1,2.0,16,0.0873312081301855,21,1,1,1
1,2.0,16,0.0899170097756062,22,0,0,1
1,2.0,16,0.0923618509883378,23,0,0,1
1,2.0,16,0.0947054688035461,24,0,0,1
1,2.0,16,0.0969589709684958,25,1,1,1
1,2.0,16,0.0991319842554718,26,0,0,1
1,2.0,16,0.1012329323759889,27,0,1,0
1,2.0,16,0.0948078169697544,28,1,1,1
1,2.0,16,0.0970429764687375,29,1,1,1
2,2.0,1,0.0914999999999999,0,0,1,0
2,2.0,1,0.1000226353486817,1,1,1,1
2,2.0,1,0.1022086861414501,2,1,0,0
2,2.0,1,0.0955251411263835,3,1,1,1
2,2.0,1,0.097859113260278,4,1,1,1
2,2.0,1,0.1001056088241141,5,1,1,1
2,2.0,1,0.102273897756051,6,0,1,0
2,2.0,1,0.0956463949804497,7,1,1,1
2,2.0,1,0.0979603467425693,8,0,1,0
2,2.0,1,0.0907688010617966,9,1,1,1
2,2.0,1,0.0933774572074565,10,1,1,1
2,2.0,1,0.095766660300687,11,1,1,1
2,2.0,1,0.0980608949577801,12,0,0,1
2,2.0,1,0.1002703331719339,13,0,1,0
2,2.0,1,0.093517681588383,14,0,1,0
2,2.0,1,0.0851085557497098,15,1,1,1
2,2.0,1,0.0881577088506464,16,0,0,1
2,2.0,1,0.09115091208543,17,0,0,1
2,2.0,1,0.0936566047789463,18,0,1,0
2,2.0,1,0.0853388920218116,19,1,1,1
2,2.0,1,0.0883666396101825,20,0,0,1
2,2.0,1,0.0913400409907727,21,0,1,0
2,2.0,1,0.0824969176624585,22,0,0,1
2,2.0,1,0.0855672266180129,23,1,0,0
2,2.0,1,0.0764133648360831,24,1,1,1
2,2.0,1,0.079623841255875,25,1,1,1
2,2.0,1,0.0827457295741671,26,1,1,1
2,2.0,1,0.0857935941297032,27,0,1,0
2,2.0,1,0.0767106900140414,28,0,0,1
2,2.0,1,0.0798944340345798,29,0,1,0
3,8.0,1,0.0939999999999998,0,0,0,1
3,8.0,1,0.1104033262434735,1,0,0,1
3,8.0,1,0.1123181764450931,2,0,0,1
3,8.0,1,0.1141891256686883,3,0,1,0
3,8.0,1,0.1084709870089807,4,0,0,1
3,8.0,1,0.110419876067907,5,1,1,1
3,8.0,1,0.1123203727162588,6,1,0,0
3,8.0,1,0.1065154768382855,7,0,0,1
3,8.0,1,0.1085028186546125,8,0,1,0
3,8.0,1,0.1024368280161577,9,1,1,1
3,8.0,1,0.1045323370598454,10,0,1,0
3,8.0,1,0.0981372122930898,11,0,1,0
3,8.0,1,0.0905650299410415,12,0,0,1
3,8.0,1,0.0934777831712921,13,1,1,1
3,8.0,1,0.0959549159666287,14,1,1,1
3,8.0,1,0.0982530506534203,15,1,1,1
3,8.0,1,0.100463863158499,16,0,0,1
3,8.0,1,0.1025964225048396,17,1,1,1
3,8.0,1,0.1046587069022039,18,0,0,1
3,8.0,1,0.1066577919458259,19,0,1,0
3,8.0,1,0.1005603214549066,20,1,1,1
3,8.0,1,0.1026756099992299,21,1,0,0
3,8.0,1,0.0962230932362332,22,1,0,0
3,8.0,1,0.0882698209222675,23,1,1,1
3,8.0,1,0.0911703285428623,24,0,0,1
3,8.0,1,0.0940226924256801,25,1,0,0
3,8.0,1,0.0855553442008076,26,0,0,1
3,8.0,1,0.0884879199905698,27,1,1,1
3,8.0,1,0.0913690723076226,28,0,0,1
3,8.0,1,0.0941741403964698,29,0,0,1
4,2.0,0.5,0.0694999999999999,0,1,1,1
4,2.0,0.5,0.0913565604717223,1,1,0,0
4,2.0,0.5,0.0836888299850954,2,1,1,1
4,2.0,0.5,0.0863593926179102,3,1,1,1
4,2.0,0.5,0.0889176550174205,4,0,1,0
4,2.0,0.5,0.0809966886017972,5,1,1,1
4,2.0,0.5,0.0837717038464362,6,0,0,1
4,2.0,0.5,0.0864201834452767,7,1,1,1
4,2.0,0.5,0.0889580574835941,8,1,1,1
4,2.0,0.5,0.0913987518664866,9,1,1,1
4,2.0,0.5,0.0937537319027927,10,1,0,0
4,2.0,0.5,0.0864810609699741,11,1,1,1
4,2.0,0.5,0.08899882538542,12,1,0,0
4,2.0,0.5,0.0812089608891438,13,0,0,1
4,2.0,0.5,0.0839367568943019,14,0,1,0
4,2.0,0.5,0.0754676348325648,15,1,1,1
4,2.0,0.5,0.0784710267171409,16,0,0,1
4,2.0,0.5,0.0813142016387243,17,1,1,1
4,2.0,0.5,0.0840189082983881,18,0,1,0
4,2.0,0.5,0.0756252441366955,19,0,0,1
4,2.0,0.5,0.0786007207097812,20,1,1,1
4,2.0,0.5,0.0814188377167183,21,0,1,0
4,2.0,0.5,0.072653255892451,22,1,1,1
4,2.0,0.5,0.0757814035857193,23,0,1,0
4,2.0,0.5,0.0653605022361923,24,1,1,1
4,2.0,0.5,0.0695325981741389,25,1,1,1
4,2.0,0.5,0.0728384021893382,26,1,1,1
4,2.0,0.5,0.0759361273425997,27,1,1,1
4,2.0,0.5,0.0788571306992813,28,1,1,1
4,2.0,0.5,0.0816262767403554,29,1,0,0
5,4.0,full,0.1052499999999999,0,1,1,1
5,4.0,full,0.1198610057690242,1,0,0,1
5,4.0,full,0.1215989491682855,2,0,1,0
5,4.0,full,0.1163084828065427,3,0,0,1
5,4.0,full,0.1181132466399444,4,0,0,1
5,4.0,full,0.1198760014067552,5,0,0,1
5,4.0,full,0.1216009458601239,6,0,0,1
5,4.0,full,0.1232919560794919,7,1,1,1
5,4.0,full,0.1249526274212509,8,0,1,0
5,4.0,full,0.1198914673317959,9,1,1,1
5,4.0,full,0.1216035893934116,10,0,0,1
5,4.0,full,0.1232821661847085,11,1,1,1
5,4.0,full,0.1249307362931803,12,0,1,0
5,4.0,full,0.1199073809634182,13,0,1,0
5,4.0,full,0.1146275651809287,14,1,1,1
5,4.0,full,0.1164363125717269,15,0,0,1
5,4.0,full,0.1182002512761341,16,1,1,1
5,4.0,full,0.1199237207017382,17,1,1,1
5,4.0,full,0.1216107135348885,18,0,0,1
5,4.0,full,0.1232649212155836,19,0,0,1
5,4.0,full,0.1248897724794534,20,1,1,1
5,4.0,full,0.1264884662498608,21,0,0,1
5,4.0,full,0.1280639998916472,22,1,1,1
5,4.0,full,0.1296191936309328,23,1,1,1
5,4.0,full,0.1311567117858723,24,1,1,1
5,4.0,full,0.1326790813293064,25,0,0,1
5,4.0,full,0.1341887082071141,26,0,0,1
5,4.0,full,0.1356878917593514,27,1,1,1
5,4.0,full,0.1371692954735222,28,1,1,1
5,4.0,full,0.1386450815436332,29,0,1,0
0,8.0,16,0.0997499999999999,0,0,0,1
0,8.0,16,0.1151936561364734,1,0,0,1
0,8.0,16,0.1170150148113148,2,1,1,1
0,8.0,16,0.1187977224726264,3,1,1,1
0,8.0,16,0.1205458761923961,4,1,1,1
0,8.0,16,0.1222632674045873,5,0,0,1
0,8.0,16,0.1239534218303209,6,1,1,1
0,8.0,16,0.125619633498695,7,0,1,0
0,8.0,16,0.1205219895125186,8,0,0,1
0,8.0,16,0.1222269139878385,9,1,1,1
0,8.0,16,0.1239048758956733,10,1,0,0
0,8.0,16,0.1187763935357516,11,0,0,1
0,8.0,16,0.1204991289539906,12,1,1,1
0,8.0,16,0.1221917538599353,13,1,1,1
0,8.0,16,0.1238576871781854,14,1,1,1
0,8.0,16,0.1255001254394525,15,0,0,1
0,8.0,16,0.1271220705228551,16,1,0,0
0,8.0,16,0.1221577492327969,17,1,1,1
0,8.0,16,0.1238118144941713,18,1,1,1
0,8.0,16,0.1254426052158546,19,0,1,0
0,8.0,16,0.1204563500236071,20,1,1,1
0,8.0,16,0.1221248637376602,21,1,1,1
0,8.0,16,0.1237672181790475,22,1,1,1
0,8.0,16,0.1253865163667669,23,0,1,0
0,8.0,16,0.1204363668067443,24,0,0,1
0,8.0,16,0.1220930623612149,25,0,1,0
0,8.0,16,0.1170371899238459,26,0,0,1
0,8.0,16,0.1187433903150008,27,0,0,1
0,8.0,16,0.1204172799043062,28,1,1,1
0,8.0,16,0.1220623113851481,29,0,0,1
1,1.0,16,0.08225,0,1,1,1
1,1.0,16,0.1009536849316214,1,0,0,1
1,1.0,16,0.1030808653202808,2,0,0,1
1,1.0,16,0.1051505520387306,3,0,1,0
1,1.0,16,0.0987972826276932,4,0,0,1
1,1.0,16,0.1009721103294187,5,0,1,0
1,1.0,16,0.0942967094367316,6,1,1,1
1,1.0,16,0.0966042806300563,7,1,1,1
1,1.0,16,0.0988328886912215,8,0,0,1
1,1.0,16,0.1009911122483437,9,1,1,1
1,1.0,16,0.1030865229798632,10,0,1,0
1,1.0,16,0.09665754532389,11,0,0,1
1,1.0,16,0.0988688208739076,12,1,1,1
1,1.0,16,0.1010106628257804,13,0,1,0
1,1.0,16,0.0944399486772594,14,1,1,1
1,1.0,16,0.096710877816729,15,1,1,1
1,1.0,16,0.0989050567406496,16,0,0,1
